"genotype.idx" "phenotype.idx" "pval" "phenotype" "p.bh"
"MAV88.9" "TVAG_472650" 272 4.43155312554454e-06 "MAV88" 0.0442254128545016
"MAV16.2" "TVAG_444400" 200 4.43462153192087e-06 "MAV16" 0.0442254128545016
"MAV17.2" "TVAG_444400" 201 4.43462153192087e-06 "MAV17" 0.0442254128545016
"MAV18.2" "TVAG_444400" 202 4.43462153192087e-06 "MAV18" 0.0442254128545016
"MAV19.2" "TVAG_444400" 203 4.43462153192087e-06 "MAV19" 0.0442254128545016
"Tvmar105.1" "TVAG_036270" 105 4.43537380810161e-06 "Tvmar105" 0.0442254128545016
"Tvmar173.6" "TVAG_296960" 173 4.59705885871758e-06 "Tvmar173" 0.0452457856404513
"Tvmar174.6" "TVAG_296960" 174 4.59705885871758e-06 "Tvmar174" 0.0452457856404513
"Tvmar175.6" "TVAG_296960" 175 4.59705885871758e-06 "Tvmar175" 0.0452457856404513
"Tvmar177.6" "TVAG_296960" 177 4.59705885871758e-06 "Tvmar177" 0.0452457856404513
"Tvmar185.6" "TVAG_296960" 185 4.59705885871758e-06 "Tvmar185" 0.0452457856404513
"MAV89.6" "TVAG_296960" 273 4.59705885871758e-06 "MAV89" 0.0452457856404513
"MAV90.6" "TVAG_296960" 274 4.59705885871758e-06 "MAV90" 0.0452457856404513
"MAV92.6" "TVAG_296960" 276 4.59705885871758e-06 "MAV92" 0.0452457856404513
"MAV97.6" "TVAG_296960" 281 4.59705885871758e-06 "MAV97" 0.0452457856404513
"MAV98.6" "TVAG_296960" 282 4.59705885871758e-06 "MAV98" 0.0452457856404513
"MAV99.6" "TVAG_296960" 283 4.59705885871758e-06 "MAV99" 0.0452457856404513
"Tvmar178.73" "TVAG_422750" 178 4.60968631867966e-06 "Tvmar178" 0.0453168804836926
"Tvmar105.4" "TVAG_399470" 105 4.64223093135984e-06 "Tvmar105" 0.0455833809949817
"Tvmar101" "TVAG_361180" 101 4.66055667699783e-06 "Tvmar101" 0.0456477571917648
"Tvmar138.19" "TVAG_326020" 138 4.66511766425077e-06 "Tvmar138" 0.0456477571917648
"Tvmar139.19" "TVAG_326020" 139 4.66511766425077e-06 "Tvmar139" 0.0456477571917648
"Tvmar179.3" "TVAG_050580" 179 4.6951434824594e-06 "Tvmar179" 0.0457812958793818
"Tvmar180.3" "TVAG_050580" 180 4.6951434824594e-06 "Tvmar180" 0.0457812958793818
"Tvmar181.3" "TVAG_050580" 181 4.6951434824594e-06 "Tvmar181" 0.0457812958793818
"MAV95.8" "TVAG_489180" 279 4.7038914604821e-06 "MAV95" 0.0458133241528897
"Tvmar122.2" "TVAG_228870" 122 4.75113272660308e-06 "Tvmar122" 0.045855950447714
"MAV74.2" "TVAG_228870" 258 4.75113272660308e-06 "MAV74" 0.045855950447714
"Tvmar22.1" "TVAG_025030" 22 4.75748346935643e-06 "Tvmar22" 0.045855950447714
"Tvmar25.1" "TVAG_025030" 25 4.75748346935643e-06 "Tvmar25" 0.045855950447714
"Tvmar28.1" "TVAG_025030" 28 4.75748346935643e-06 "Tvmar28" 0.045855950447714
"Tvmar29.1" "TVAG_025030" 29 4.75748346935643e-06 "Tvmar29" 0.045855950447714
"Tvmar32.1" "TVAG_025030" 32 4.75748346935643e-06 "Tvmar32" 0.045855950447714
"Tvmar33.1" "TVAG_025030" 33 4.75748346935643e-06 "Tvmar33" 0.045855950447714
"Tvmar45.1" "TVAG_025030" 45 4.75748346935643e-06 "Tvmar45" 0.045855950447714
"Tvmar178.68" "TVAG_407580" 178 4.85493441276221e-06 "Tvmar178" 0.0467239755918973
"Tvmar2.7" "TVAG_097350" 2 4.88174444795983e-06 "Tvmar2" 0.0467239755918973
"Tvmar3.7" "TVAG_097350" 3 4.88174444795983e-06 "Tvmar3" 0.0467239755918973
"Tvmar13.7" "TVAG_097350" 13 4.88174444795983e-06 "Tvmar13" 0.0467239755918973
"MAV25.7" "TVAG_097350" 209 4.88174444795983e-06 "MAV25" 0.0467239755918973
"Tvmar138.38" "TVAG_495850" 138 4.88654291990739e-06 "Tvmar138" 0.0467239755918973
"Tvmar139.38" "TVAG_495850" 139 4.88654291990739e-06 "Tvmar139" 0.0467239755918973
"Tvmar178.25" "TVAG_161610" 178 4.93921469233231e-06 "Tvmar178" 0.047173820718247
"Tvmar51.1" "TVAG_030190" 51 4.97677243894937e-06 "Tvmar51" 0.0474784543624342
"Tvmar178.74" "TVAG_425200" 178 4.99719826810651e-06 "Tvmar178" 0.0476191427346775
"Tvmar8.6" "TVAG_400380" 8 5.07972869069994e-06 "Tvmar8" 0.048132111107666
"Tvmar31.6" "TVAG_400380" 31 5.07972869069994e-06 "Tvmar31" 0.048132111107666
"MAV29.6" "TVAG_400380" 213 5.07972869069994e-06 "MAV29" 0.048132111107666
"MAV32.6" "TVAG_400380" 216 5.07972869069994e-06 "MAV32" 0.048132111107666
"MAV33.6" "TVAG_400380" 217 5.07972869069994e-06 "MAV33" 0.048132111107666
"MAV91.7" "TVAG_350600" 275 5.1010010526055e-06 "MAV91" 0.048279121100226
"Tvmar178.2" "TVAG_026370" 178 5.14246022963606e-06 "Tvmar178" 0.0486166450833503
"Tvmar178.39" "TVAG_213630" 178 5.16067238714942e-06 "Tvmar178" 0.048733879837165
"Tvmar171.2" "TVAG_101720" 171 5.18026892907341e-06 "Tvmar171" 0.0488639093250002
"Tvmar183" "TVAG_323780" 183 5.20640198844888e-06 "Tvmar183" 0.0488904351060158
"MAV93" "TVAG_323780" 277 5.20640198844888e-06 "MAV93" 0.0488904351060158
"MAV94" "TVAG_323780" 278 5.20640198844888e-06 "MAV94" 0.0488904351060158
"MAV100" "TVAG_323780" 284 5.20640198844888e-06 "MAV100" 0.0488904351060158
