"genotype.idx" "phenotype.idx" "pval" "phenotype" "p.bh"
"Tvmar177.3" "TVAG_156970" 177 4.56706221118535e-08 "Tvmar177" 0.00172512916388947
"Tvmar185.3" "TVAG_156970" 185 4.56706221118535e-08 "Tvmar185" 0.00172512916388947
"MAV89.3" "TVAG_156970" 273 4.56706221118535e-08 "MAV89" 0.00172512916388947
"MAV90.3" "TVAG_156970" 274 4.56706221118535e-08 "MAV90" 0.00172512916388947
"MAV92.3" "TVAG_156970" 276 4.56706221118535e-08 "MAV92" 0.00172512916388947
"MAV97.3" "TVAG_156970" 281 4.56706221118535e-08 "MAV97" 0.00172512916388947
"MAV98.3" "TVAG_156970" 282 4.56706221118535e-08 "MAV98" 0.00172512916388947
"MAV99.3" "TVAG_156970" 283 4.56706221118535e-08 "MAV99" 0.00172512916388947
"Tvmar2.19" "TVAG_450600" 2 4.85883360210682e-08 "Tvmar2" 0.00180285687851823
"Tvmar3.19" "TVAG_450600" 3 4.85883360210682e-08 "Tvmar3" 0.00180285687851823
"Tvmar13.19" "TVAG_450600" 13 4.85883360210682e-08 "Tvmar13" 0.00180285687851823
"MAV25.19" "TVAG_450600" 209 4.85883360210682e-08 "MAV25" 0.00180285687851823
"MAV86.7" "TVAG_158630" 270 4.94080746193759e-08 "MAV86" 0.00182519696157406
"Tvmar178.18" "TVAG_126410" 178 5.56411048640572e-08 "Tvmar178" 0.00204643786203144
"Tvmar178.53" "TVAG_307160" 178 5.68260167033201e-08 "Tvmar178" 0.00206858175684381
"Tvmar138.3" "TVAG_020660" 138 5.69832225448134e-08 "Tvmar138" 0.00206858175684381
"Tvmar139.3" "TVAG_020660" 139 5.69832225448134e-08 "Tvmar139" 0.00206858175684381
"Tvmar178.26" "TVAG_177600" 178 5.89082349060387e-08 "Tvmar178" 0.00212924526029333
"Tvmar51.2" "TVAG_054420" 51 6.32961631718205e-08 "Tvmar51" 0.00227802836923911
"Tvmar178.50" "TVAG_287920" 178 6.90900577053908e-08 "Tvmar178" 0.00247592429922329
"Tvmar172.7" "TVAG_491590" 172 7.7363846363473e-08 "Tvmar172" 0.00275258284313821
"Tvmar178.57" "TVAG_345550" 178 7.74666432036919e-08 "Tvmar178" 0.00275258284313821
"Tvmar178.15" "TVAG_105160" 178 8.15875259174592e-08 "Tvmar178" 0.00288677597166755
"Tvmar173.5" "TVAG_241690" 173 8.58887105434423e-08 "Tvmar173" 0.00289973937389126
"Tvmar174.5" "TVAG_241690" 174 8.58887105434423e-08 "Tvmar174" 0.00289973937389126
"Tvmar175.5" "TVAG_241690" 175 8.58887105434423e-08 "Tvmar175" 0.00289973937389126
"Tvmar177.5" "TVAG_241690" 177 8.58887105434423e-08 "Tvmar177" 0.00289973937389126
"Tvmar185.5" "TVAG_241690" 185 8.58887105434423e-08 "Tvmar185" 0.00289973937389126
"MAV89.5" "TVAG_241690" 273 8.58887105434423e-08 "MAV89" 0.00289973937389126
"MAV90.5" "TVAG_241690" 274 8.58887105434423e-08 "MAV90" 0.00289973937389126
"MAV92.5" "TVAG_241690" 276 8.58887105434423e-08 "MAV92" 0.00289973937389126
"MAV97.5" "TVAG_241690" 281 8.58887105434423e-08 "MAV97" 0.00289973937389126
"MAV98.5" "TVAG_241690" 282 8.58887105434423e-08 "MAV98" 0.00289973937389126
"MAV99.5" "TVAG_241690" 283 8.58887105434423e-08 "MAV99" 0.00289973937389126
"Tvmar178.21" "TVAG_145530" 178 8.61034689304327e-08 "Tvmar178" 0.00289973937389126
"MAV91.2" "TVAG_165700" 275 8.75139093868088e-08 "MAV91" 0.00293545035799945
"Tvmar2.21" "TVAG_450620" 2 1.00865038163777e-07 "Tvmar2" 0.00333000284586127
"Tvmar3.21" "TVAG_450620" 3 1.00865038163777e-07 "Tvmar3" 0.00333000284586127
"Tvmar13.21" "TVAG_450620" 13 1.00865038163777e-07 "Tvmar13" 0.00333000284586127
"MAV25.21" "TVAG_450620" 209 1.00865038163777e-07 "MAV25" 0.00333000284586127
"Tvmar178.5" "TVAG_047860" 178 1.0359970207832e-07 "Tvmar178" 0.00340687335893216
"Tvmar2.11" "TVAG_256520" 2 1.06844100294536e-07 "Tvmar2" 0.00345930174837329
"Tvmar3.11" "TVAG_256520" 3 1.06844100294536e-07 "Tvmar3" 0.00345930174837329
"Tvmar13.11" "TVAG_256520" 13 1.06844100294536e-07 "Tvmar13" 0.00345930174837329
